activity,country,legal_status,notes,topic
bring alcohol into a country,Luxembourg,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Luxembourg,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Luxembourg,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Luxembourg,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Luxembourg,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Luxembourg,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Luxembourg,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Luxembourg,legal,Estimated legal status based on general regulations. Verify locally.,travel
