activity,country,legal_status,notes,topic
bring alcohol into a country,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Armenia,legal,Estimated legal status based on general regulations. Verify locally.,travel
