activity,country,legal_status,notes,topic
bring alcohol into a country,Croatia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Croatia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Croatia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Croatia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Croatia,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Croatia,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Croatia,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Croatia,legal,Estimated legal status based on general regulations. Verify locally.,travel
