activity,country,legal_status,notes,topic
bring alcohol into a country,China,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,China,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,China,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,China,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,China,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,China,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,China,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,China,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,China,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,China,legal,Estimated legal status based on general regulations. Verify locally.,travel
