activity,country,legal_status,notes,topic
bring alcohol into a country,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,travel
