activity,country,legal_status,notes,topic
bring alcohol into a country,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,New Zealand,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,New Zealand,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,New Zealand,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,travel
