activity,country,legal_status,notes,topic
bring alcohol into a country,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Sri Lanka,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Sri Lanka,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Sri Lanka,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Sri Lanka,legal,Estimated legal status based on general regulations. Verify locally.,travel
