activity,country,legal_status,notes,topic
bring alcohol into a country,Uzbekistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Uzbekistan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Uzbekistan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Uzbekistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Uzbekistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Uzbekistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Uzbekistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Uzbekistan,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Uzbekistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Uzbekistan,legal,Estimated legal status based on general regulations. Verify locally.,travel
