activity,country,legal_status,notes,topic
bring alcohol into a country,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,travel
