activity,country,legal_status,notes,topic
bring alcohol into a country,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Suriname,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Suriname,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Suriname,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Suriname,legal,Estimated legal status based on general regulations. Verify locally.,travel
