activity,country,legal_status,notes,topic
bring alcohol into a country,Israel,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Israel,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Israel,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Israel,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Israel,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Israel,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Israel,legal,Estimated legal status based on general regulations. Verify locally.,travel
