activity,country,legal_status,notes,topic
bring alcohol into a country,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Kazakhstan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Kazakhstan,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Kazakhstan,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Kazakhstan,legal,Estimated legal status based on general regulations. Verify locally.,travel
