activity,country,legal_status,notes,topic
bring alcohol into a country,Algeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bring food into a country,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing cash into a country,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,travel
bringing duty free goods,Algeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing electronics into a country,Algeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing medication into a country,Algeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing tobacco into a country,Algeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
bringing weapons in luggage,Algeria,illegal,Estimated legal status based on general regulations. Verify locally.,travel
carrying prescription drugs,Algeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
declaring goods at customs,Algeria,legal,Estimated legal status based on general regulations. Verify locally.,travel
