activity,country,legal_status,notes,topic
drive dangerously,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
