activity,country,legal_status,notes,topic
drive dangerously,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on footpath,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on pavement,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive on sidewalk,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive over speed limit,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive recklessly,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive under influence,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive uninsured,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired licence,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive with expired registration,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without inspection,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without licence,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without MOT,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without plates,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without pollution certificate,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without registration,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
drive without tax,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
not wear seatbelt,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
use phone while driving,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,vehicles
