activity,country,legal_status,notes,topic
filming police officers,Thailand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Thailand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Thailand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Thailand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Thailand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
