activity,country,legal_status,notes,topic
filming police officers,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Zimbabwe,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
