activity,country,legal_status,notes,topic
filming police officers,Finland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Finland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Finland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Finland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Finland,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
