activity,country,legal_status,notes,topic
filming police officers,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Saudi Arabia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
