activity,country,legal_status,notes,topic
filming police officers,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,New Zealand,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,New Zealand,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,New Zealand,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,New Zealand,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,New Zealand,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,New Zealand,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
