activity,country,legal_status,notes,topic
filming police officers,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Czech Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
