activity,country,legal_status,notes,topic
filming police officers,Israel,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Israel,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Israel,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Israel,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Israel,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
