activity,country,legal_status,notes,topic
filming police officers,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Nigeria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
