activity,country,legal_status,notes,topic
filming police officers,Mongolia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Mongolia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Mongolia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Mongolia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Mongolia,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
