activity,country,legal_status,notes,topic
filming police officers,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Dominican Republic,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
