activity,country,legal_status,notes,topic
carry a baton,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Mongolia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Mongolia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
