activity,country,legal_status,notes,topic
carry a baton,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Dominican Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Dominican Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
