activity,country,legal_status,notes,topic
carry a baton,Ukraine,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Ukraine,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Ukraine,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Ukraine,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Ukraine,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Ukraine,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Ukraine,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Ukraine,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Ukraine,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Ukraine,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
