activity,country,legal_status,notes,topic
carry a baton,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Venezuela,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Venezuela,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
