activity,country,legal_status,notes,topic
carry a baton,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Ethiopia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Ethiopia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
