activity,country,legal_status,notes,topic
carry a baton,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
