activity,country,legal_status,notes,topic
carry a baton,Portugal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Portugal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Portugal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Portugal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Portugal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Portugal,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Portugal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Portugal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Portugal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Portugal,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
