activity,country,legal_status,notes,topic
carry a baton,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Colombia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Colombia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
